coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,dwc:datasetID,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
cd317bdb-d31b-4401-999b-0903a0c8c06b,,,preservedspecimen,,trillium discolor,conn00126033,liliopsida,conn,,,a. cuthbert,,,north america,20000.0,united states,usa,richmond county,7ddf754f-d193-4cc9-b351-99906754a03b,2004-04-27T00:00:00+00:00,2014-09-09T01:46:15.746000+00:00,0.21739130434782608,,,,,,64a43889506b3de649ae05b9003c8bc2bedd65cf,2004-04-27,melanthiaceae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_kingdom_replaced"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonomicstatus_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""dwc_class_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_multimedia_added"", ""dwc_datasetid_replaced""]",,trillium,,"{""lat"": 33.47083, ""lon"": -81.975}",,true,true,plantae; monocotyledonae;  ; melanthiaceae,,,,uconn,,,plantae,,,,,,,augusta: in cane brake an island in savannah river 16 miles from above,,,,"[""344afa6f-ded8-4868-a4e7-e5d2f9155a5e""]",,,,augusta,urn:catalog:uconn:conn:conn00126033,liliales,tracheophyta,"[""e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\urn:catalog:uconn:conn:conn00126033""]",,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,trillium discolor wray ex hook.,discolor,118,georgia,2742273,accepted,species,,cd317bdb-d31b-4401-999b-0903a0c8c06b,27-apr-04,,,
4ac64cf0-9772-431f-9645-685b684e3006,,,preservedspecimen,,veratrum woodii,000052235,liliopsida,fsu,,,patricia  elliott,,,north america,,united states,usa,liberty,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1972-04-21T00:00:00+00:00,2014-11-17T18:47:24.191000+00:00,0.2463768115942029,,,,,,20b8f391cec9d9afb701dcb12df7bc0f11735b70,1972-04-21,melanthiaceae,,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""dwc_phylum_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_taxonremarks_added"", ""dwc_taxonomicstatus_added"", ""dwc_class_added""]",,veratrum,,"{""lat"": 30.2411375728, ""lon"": -84.8830834555}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,torreya state park.,,,,"[""562a3fd2-0da3-4480-b735-1b1eb9fba17f""]",,,,,urn:uuid:cc5d6deb-cfb2-4297-bd8c-f6f54491266d,liliales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:cc5d6deb-cfb2-4297-bd8c-f6f54491266d""]",197,b2b294ed-1742-4479-b0c8-a8891fccd7eb,veratrum woodii,woodii,112,florida,8267887,doubtful,species,,4ac64cf0-9772-431f-9645-685b684e3006,,,,
3698a8ef-a9fa-4fdc-a6db-abf303873ae7,,,preservedspecimen,,stenanthium gramineum,000052175,liliopsida,fsu,,,"robert k. godfrey, angus  gholson, donnie  humphries",,,north america,,united states,usa,gadsden,7ddf754f-d193-4cc9-b351-99906754a03b,1984-04-25T00:00:00+00:00,2014-11-17T19:56:10.006000+00:00,0.2318840579710145,,,,,,32872504835ddb72320b5c09fa685d7a9d511703,1984-04-25,melanthiaceae,,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added""]",,stenanthium,,"{""lat"": 30.5797452854, ""lon"": -84.6135341599}",,true,true,,,,micranthum,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"s of river junction, s of i-10, se of rd c-269, north of flat creek road (paved).",,,,"[""2668f41a-e94d-45de-9472-7a5c0ad2f3e9""]",,,,,urn:uuid:7dda6f25-92a9-45b9-8264-83c37de5aff3,liliales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:7dda6f25-92a9-45b9-8264-83c37de5aff3""]",81249,b2b294ed-1742-4479-b0c8-a8891fccd7eb,stenanthium gramineum var.  micranthum,gramineum,116,florida,2741746,accepted,species,,3698a8ef-a9fa-4fdc-a6db-abf303873ae7,,,,
59f4a351-9653-460d-8454-1154252b8dfc,,,preservedspecimen,,trillium underwoodii,000025707,liliopsida,fsu,,,patricia  elliott,,,north america,,united states,usa,liberty,7ddf754f-d193-4cc9-b351-99906754a03b,1972-04-09T00:00:00+00:00,2014-11-17T19:03:26.817000+00:00,0.2463768115942029,,,,,,58010d191fee432dd16a97017839f004d4b38ed0,1972-04-09,melanthiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""dwc_family_replaced""]",,trillium,,"{""lat"": 30.2411375728, ""lon"": -84.8830834555}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,at torreya state park.,,,,"[""6c700eb4-7892-48ff-abb4-6f2dee3c6638""]",,,,,urn:uuid:7d987759-ad1a-467d-96f3-8660f0c372fe,liliales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:7d987759-ad1a-467d-96f3-8660f0c372fe""]",80,b2b294ed-1742-4479-b0c8-a8891fccd7eb,trillium underwoodii,underwoodii,100,florida,2742327,accepted,species,,59f4a351-9653-460d-8454-1154252b8dfc,,,,
5c1464e2-2c2c-4805-9649-0606e1130e0a,,,preservedspecimen,,trillium underwoodii,conn00126287,liliopsida,conn,,,"""c. s. sargent, a cuthbert & c. c. godfrey""",,,north america,20000.0,united states,usa,columbia county,7ddf754f-d193-4cc9-b351-99906754a03b,2008-03-30T00:00:00+00:00,2014-09-12T19:45:03.788000+00:00,0.18840579710144928,,,,,,3e6d1afe639ae5f053bbc1ae1611e114b21d8cef,2008-03-30,melanthiaceae,,"[""geopoint_datum_missing"", ""geopoint_low_precision"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_kingdom_replaced"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonomicstatus_added"", ""dwc_continent_added"", ""dwc_country_replaced"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""dwc_class_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,trillium,,"{""lat"": 33.55, ""lon"": -82.25027}",,true,true,plantae; monocotyledonae;  ; melanthiaceae,,,,uconn,,,plantae,,,,,,,columbia county,,,,"[""3b5c3acf-70f2-4a90-b4bc-f24d1b73cff6""]",,,,,urn:catalog:uconn:conn:conn00126287,liliales,tracheophyta,"[""e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\urn:catalog:uconn:conn:conn00126287""]",,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,trillium underwoodii small,underwoodii,90,georgia,2742327,accepted,species,,5c1464e2-2c2c-4805-9649-0606e1130e0a,30-mar-08,,,
4c4df001-7cc5-4277-8ecc-09d68d92b5c6,,,preservedspecimen,,stenanthium gramineum,000052165,liliopsida,fsu,,,sidney  mcdaniel,,,north america,,united states,usa,leon,7ddf754f-d193-4cc9-b351-99906754a03b,1965-07-16T00:00:00+00:00,2014-11-17T17:32:26.359000+00:00,0.21739130434782608,,,,,,b36fb7e82aff14275460199762724bccf849e1a9,1965-07-16,melanthiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""dwc_family_replaced""]",,stenanthium,,"{""lat"": 30.4584597305, ""lon"": -84.2776697551}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,ca. 2 miles south of lake talquin dam along ochlochonee river.,,,,"[""32d349f4-1ea7-4b01-84ca-e25e89cf9763""]",,,,,urn:uuid:c5bf66d9-eb6b-47ac-bca8-87a55150e566,liliales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:c5bf66d9-eb6b-47ac-bca8-87a55150e566""]",6529,b2b294ed-1742-4479-b0c8-a8891fccd7eb,stenanthium gramineum,gramineum,197,florida,2741746,accepted,species,,4c4df001-7cc5-4277-8ecc-09d68d92b5c6,,,,
78fd4a57-53f7-4224-995c-f57a8eb1e749,,,preservedspecimen,,trillium underwoodii,000025783,liliopsida,fsu,,,robert k. godfrey,,,north america,,united states,usa,gadsden,7ddf754f-d193-4cc9-b351-99906754a03b,1963-03-10T00:00:00+00:00,2014-11-17T18:40:52.554000+00:00,0.2463768115942029,,,,,,a73867941b84eebbab4da4a2bd237d1eda1ce02d,1963-03-10,melanthiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""dwc_family_replaced""]",,trillium,,"{""lat"": 30.5797452854, ""lon"": -84.6135341599}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"from about 30 acres; little river, between havana and quincy.",,,,"[""0aeb3632-383e-4bd9-b891-1117caa305c0""]",,,,,urn:uuid:f94fc669-7afe-4fff-b5bc-4dbc586f5c28,liliales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:f94fc669-7afe-4fff-b5bc-4dbc586f5c28""]",62650,b2b294ed-1742-4479-b0c8-a8891fccd7eb,trillium underwoodii,underwoodii,69,florida,2742327,accepted,species,,78fd4a57-53f7-4224-995c-f57a8eb1e749,,,,
432f86d7-e892-4713-bb09-0248bea46b5b,,,preservedspecimen,,trillium underwoodii,000025701,liliopsida,fsu,,,robert k. godfrey,,,north america,,united states,usa,leon,7ddf754f-d193-4cc9-b351-99906754a03b,1955-01-30T00:00:00+00:00,2014-11-17T18:58:43.787000+00:00,0.2463768115942029,,,,,,cc2c931e1ed2b06ef41d3435ef2d48807e3842d9,1955-01-30,melanthiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""dwc_family_replaced""]",,trillium,,"{""lat"": 30.4584597305, ""lon"": -84.2776697551}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,near tallahassee.,,,,"[""30903e61-3ff5-4a1a-b21c-c686e61809c4""]",,,,,urn:uuid:9fad0a59-29eb-4549-9194-4c91caaa1f65,liliales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:9fad0a59-29eb-4549-9194-4c91caaa1f65""]",52856,b2b294ed-1742-4479-b0c8-a8891fccd7eb,trillium underwoodii,underwoodii,30,florida,2742327,accepted,species,,432f86d7-e892-4713-bb09-0248bea46b5b,,,,
63045ae0-b27f-4518-82ca-271b2c5fe9b6,,,preservedspecimen,,trillium underwoodii,000025624,liliopsida,fsu,,,robert k. godfrey,,,north america,,united states,usa,leon,7ddf754f-d193-4cc9-b351-99906754a03b,1963-03-10T00:00:00+00:00,2014-11-17T17:42:04.889000+00:00,0.2463768115942029,,,,,,46e2a49cff60cb3c390a170d1b085f44e0251a08,1963-03-10,melanthiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""dwc_family_replaced""]",,trillium,,"{""lat"": 30.4584597305, ""lon"": -84.2776697551}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"from an area of ca 4 acres; near black lake, just off the fci road (park ave. extension), e of tallahassee.",,,,"[""4d586cea-4e7d-41f8-84ca-70f6e25b55f0""]",,,,,urn:uuid:89ecfb3d-2984-4b2c-b30a-8b74659e2e6d,liliales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:89ecfb3d-2984-4b2c-b30a-8b74659e2e6d""]",68648,b2b294ed-1742-4479-b0c8-a8891fccd7eb,trillium underwoodii,underwoodii,69,florida,2742327,accepted,species,,63045ae0-b27f-4518-82ca-271b2c5fe9b6,,,,
41ecce0e-edd0-4dcb-a710-4c86f1e8276f,,,preservedspecimen,,trillium reliquum,000012095,liliopsida,fsu,,,"j. t.  murrell, j. d. freeman, m.  ihara, k.  ihara",,,north america,,united states,usa,aiken,7ddf754f-d193-4cc9-b351-99906754a03b,1968-03-30T00:00:00+00:00,2017-01-08T07:08:27.062554+00:00,0.21739130434782608,,,,,,626c2cb89ce1b304d15d48847958d023109fff05,1968-03-30,melanthiaceae,,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""taxon_match_failed""]",,trillium,,"{""lat"": 33.5451394827, ""lon"": -81.6344063699}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,on the w-facing bluff-slope of the savannah r. at the e edge of swamp 1.8 mi. nw of beech island on swamp rd.,,,,"[""7dea68b7-f4b5-494e-acd2-46d631845b59""]",,,,,urn:uuid:6bf4c4f8-dd10-43f1-99a4-0cb0a4172f61,liliales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:6bf4c4f8-dd10-43f1-99a4-0cb0a4172f61""]",623,b2b294ed-1742-4479-b0c8-a8891fccd7eb,trillium reliquum,reliquum,90,south carolina,2742390,accepted,species,,41ecce0e-edd0-4dcb-a710-4c86f1e8276f,,,,
73477ae1-19d9-4551-aada-c435220f330a,,,preservedspecimen,,trillium underwoodii,000025629,liliopsida,fsu,,,robert k. godfrey,,,north america,,united states,usa,leon,7ddf754f-d193-4cc9-b351-99906754a03b,1963-03-10T00:00:00+00:00,2014-11-17T18:40:27.336000+00:00,0.2463768115942029,,,,,,4ce6d08326f0a3c6f012cb66d774335b7969b6b2,1963-03-10,melanthiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""dwc_family_replaced""]",,trillium,,"{""lat"": 30.4584597305, ""lon"": -84.2776697551}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"from an area of ca 4 acres; near black lake, just off the fci road (park ave. extension), e of tallahassee.",,,,"[""9cbf7f37-ab1b-4a57-863c-d7f3bd6e4909""]",,,,,urn:uuid:16f269e4-5bff-4be5-9a97-aee94023437c,liliales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:16f269e4-5bff-4be5-9a97-aee94023437c""]",68648,b2b294ed-1742-4479-b0c8-a8891fccd7eb,trillium underwoodii,underwoodii,69,florida,2742327,accepted,species,,73477ae1-19d9-4551-aada-c435220f330a,,,,
3e540fd3-5164-4593-a966-88f1731f4fff,,,preservedspecimen,,trillium underwoodii,000083593,liliopsida,fsu,,,"loran c. anderson, annie  schmidt",,,north america,,united states,usa,liberty,7ddf754f-d193-4cc9-b351-99906754a03b,2013-01-25T00:00:00+00:00,2017-02-10T15:03:01.728717+00:00,0.2318840579710145,,,,,,97a4dd841b415200878639cc96cfe13f66a95ffd,2013-01-25,melanthiaceae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""dwc_family_replaced""]",,trillium,,"{""lat"": 30.45807, ""lon"": -84.98135}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"apalachicola bluffs & ravines preserve (ca. 2 air mi n of bristol). by river loop on slopes just above kelly branch. lat. 30.45807 n, long. 84.98135 w.",,,,"[""8a4a6d8d-f47c-4675-8dc0-3eeec4869503""]",,,,,urn:uuid:e79b591b-0103-486f-ac6c-b1ba16edad30,liliales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:e79b591b-0103-486f-ac6c-b1ba16edad30""]",26848,b2b294ed-1742-4479-b0c8-a8891fccd7eb,trillium underwoodii,underwoodii,25,florida,2742327,accepted,species,,3e540fd3-5164-4593-a966-88f1731f4fff,,,,
5cbad79c-b3ef-416d-999b-973c53d5c9c0,,,preservedspecimen,,stenanthium densum,ttrs_000001295,liliopsida,ttrs,,,r.  komarek,,,north america,,united states,usa,thomas,7ddf754f-d193-4cc9-b351-99906754a03b,,2014-11-17T20:18:51.828000+00:00,0.18840579710144928,,,,,,4226612f002ed7c6520ae3febd8d1ece88fe6ffc,,melanthiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added""]",,stenanthium,,"{""lat"": 30.8641525471, ""lon"": -83.9191965856}",,true,true,,,,,ttrs,http://biocol.org/urn:lsid:biocol.org:col:15829,,plantae,,,,,,,"big woods, greenwood plantation adjoining city limits of thomasville along boulevard between u.d. 84 and railroad.  annually burned pineland mostly longleaf.  poorly drained situations.  frequent.",,,,"[""455b3e8a-b48c-4d00-b1a4-78e597fde3c8""]",,,,,urn:uuid:a7a2351a-1548-48ab-960c-784386cf0983,liliales,tracheophyta,"[""06c35934-1b75-4196-838d-29d509951bf9\\urn:uuid:a7a2351a-1548-48ab-960c-784386cf0983""]",0,06c35934-1b75-4196-838d-29d509951bf9,stenanthium densum,densum,,georgia,2741730,accepted,species,,5cbad79c-b3ef-416d-999b-973c53d5c9c0,,,,
73eeb7ad-0e70-4a89-86aa-735e5f64d37f,,,preservedspecimen,,trillium underwoodii,000025754,liliopsida,fsu,,,robert k. godfrey,,,north america,,united states,usa,gadsden,7ddf754f-d193-4cc9-b351-99906754a03b,1963-03-10T00:00:00+00:00,2014-11-17T20:01:24.665000+00:00,0.2463768115942029,,,,,,429e1eee67267105467cdf32bf3d8a94e57e8fd6,1963-03-10,melanthiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""dwc_family_replaced""]",,trillium,,"{""lat"": 30.5797452854, ""lon"": -84.6135341599}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,"from about 30 acres; little river, between havana and quincy.",,,,"[""3967fe55-4186-410f-9b77-4c80b5704e4d""]",,,,,urn:uuid:24ddf839-193a-4ff4-9f2e-6342bbff85bd,liliales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:24ddf839-193a-4ff4-9f2e-6342bbff85bd""]",62650,b2b294ed-1742-4479-b0c8-a8891fccd7eb,trillium underwoodii,underwoodii,69,florida,2742327,accepted,species,,73eeb7ad-0e70-4a89-86aa-735e5f64d37f,,,,
86512098-9ec1-4434-ade9-23cf685f8428,,,preservedspecimen,,stenanthium densum,000026849,liliopsida,fsu,,,r.k.  godfrey,,,north america,,united states,usa,brunswick,7ddf754f-d193-4cc9-b351-99906754a03b,1949-05-21T00:00:00+00:00,2014-11-17T18:18:58.446000+00:00,0.2318840579710145,,,,,,7816399e0935c8c1252c3dd5c6cd48abf08f1903,1949-05-21,melanthiaceae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added""]",,stenanthium,,"{""lat"": 34.0794528273, ""lon"": -78.2468901961}",,true,true,,,,,fsu,http://biocol.org/urn:lsid:biocol.org:col:15666,,plantae,,,,,,,along n. c. rt. 303 north of southport.,,,,"[""5398b04a-6c17-4fb9-b1cf-fac366489910""]",,,,,urn:uuid:699f9699-33aa-45c2-b768-fa19733666fe,liliales,tracheophyta,"[""b2b294ed-1742-4479-b0c8-a8891fccd7eb\\urn:uuid:699f9699-33aa-45c2-b768-fa19733666fe""]",49161,b2b294ed-1742-4479-b0c8-a8891fccd7eb,stenanthium densum,densum,141,north carolina,2741730,accepted,species,,86512098-9ec1-4434-ade9-23cf685f8428,,,,
41e9ca3f-5785-4e4e-8bc1-dcfbf911eb94,,,preservedspecimen,,trillium decipiens,ttrs_000001309,liliopsida,ttrs,,,robert k. godfrey,,,north america,,united states,usa,jackson,7ddf754f-d193-4cc9-b351-99906754a03b,,2014-11-17T20:36:22.067000+00:00,0.15942028985507245,,,,,,95472e549b21bea8654a02c056a875cec3aa0fb6,,melanthiaceae,,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_class_added"", ""taxon_match_failed""]",,trillium,,"{""lat"": 30.7958063705, ""lon"": -85.2158868227}",,true,true,,,,,ttrs,http://biocol.org/urn:lsid:biocol.org:col:15829,,plantae,,,,,,,"abundant in mesic woodland on limestone outcrops, just outside marianna caverns state park.",,,,"[""5f632864-0cc5-47d6-8e9a-5e522128f8ca""]",,,,,urn:uuid:4e245c31-8d88-4000-9b84-3cd58618f277,liliales,tracheophyta,"[""06c35934-1b75-4196-838d-29d509951bf9\\urn:uuid:4e245c31-8d88-4000-9b84-3cd58618f277""]",76652,06c35934-1b75-4196-838d-29d509951bf9,trillium decipiens,decipiens,,florida,2742268,accepted,species,,41e9ca3f-5785-4e4e-8bc1-dcfbf911eb94,,,,
